customerID,Churn_Probability,Risk_Category,Charge_Score,Priority_Score,Priority_Group,tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Partner,Dependents
8191-XWSZG,0.033283146514528274,Low Risk,0.17389473684210524,0.07546662361280136,Priority 3,52,20.65,1022.95,One year,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No
9959-WOFKT,0.08903047537313169,Low Risk,0.8985263157894737,0.3318792274980343,Priority 3,71,106.7,7382.25,Two year,Bank transfer (automatic),Fiber optic,Yes,No,Yes,No,Yes,Yes,No,Yes
4190-MFLUW,0.16818432223584093,Low Risk,0.46484210526315795,0.257181657144036,Priority 3,10,55.2,528.35,Month-to-month,Credit card (automatic),DSL,No,No,Yes,Yes,No,No,Yes,Yes
4183-MYFRB,0.5016889263657744,Medium Risk,0.7583157894736842,0.5786769852981473,Priority 2,21,90.05,1862.9,Month-to-month,Electronic check,Fiber optic,No,Yes,Yes,No,No,Yes,No,No
8779-QRDMV,0.8448622155508875,Very High Risk,0.33389473684210524,0.6915719719382528,Priority 2,1,39.65,39.65,Month-to-month,Electronic check,DSL,No,No,Yes,No,No,Yes,No,No
1680-VDCWW,0.04386860611142737,Low Risk,0.16673684210526316,0.0807290769095781,Priority 3,12,19.8,202.25,One year,Bank transfer (automatic),No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No
1066-JKSGK,0.3894893773109923,Medium Risk,0.16968421052631577,0.32354782727558934,Priority 3,1,20.15,20.15,Month-to-month,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No
3638-WEABW,0.029581945620117886,Low Risk,0.5044210526315789,0.17203367772355618,Priority 3,58,59.9,3505.1,Two year,Credit card (automatic),DSL,No,Yes,No,Yes,No,No,Yes,No
6322-HRPFA,0.07476042185997987,Low Risk,0.5018947368421053,0.20290071635461748,Priority 3,49,59.6,2970.3,Month-to-month,Credit card (automatic),DSL,Yes,Yes,No,Yes,No,No,Yes,Yes
6865-JZNKO,0.12607800609782985,Low Risk,0.46568421052631576,0.2279598674263756,Priority 3,30,55.3,1530.6,Month-to-month,Bank transfer (automatic),DSL,Yes,Yes,No,No,No,No,No,No
6467-CHFZW,0.4958156699923455,Medium Risk,0.8366315789473684,0.5980604426788523,Priority 2,47,99.35,4749.15,Month-to-month,Electronic check,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,Yes
8665-UTDHZ,0.5587969282242269,Medium Risk,0.2543157894736842,0.467452586599064,Priority 3,1,30.2,30.2,Month-to-month,Electronic check,DSL,No,Yes,No,No,No,No,Yes,Yes
5248-YGIJN,0.018395648434714692,Low Risk,0.76,0.24087695390430025,Priority 3,72,90.25,6369.45,Two year,Credit card (automatic),DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
8773-HHUOZ,0.26427641503508054,Low Risk,0.5448421052631579,0.34844612210350373,Priority 3,17,64.7,1093.1,Month-to-month,Mailed check,DSL,No,No,No,No,Yes,Yes,No,Yes
3841-NFECX,0.01916669135790537,Low Risk,0.8113684210526315,0.2568272102663232,Priority 3,71,96.35,6766.95,Two year,Credit card (automatic),Fiber optic,Yes,Yes,Yes,Yes,No,No,Yes,No
4929-XIHVW,0.7881629345511323,High Risk,0.8042105263157895,0.7929772120805294,Priority 1,2,95.5,181.65,Month-to-month,Credit card (automatic),Fiber optic,No,No,Yes,No,Yes,Yes,Yes,No
6827-IEAUQ,0.03547648851012698,Low Risk,0.5570526315789475,0.19194933143077314,Priority 3,27,66.15,1874.45,One year,Mailed check,DSL,Yes,Yes,Yes,Yes,No,No,Yes,Yes
7310-EGVHZ,0.3894893773109923,Medium Risk,0.17010526315789473,0.32367414306506304,Priority 3,1,20.2,20.2,Month-to-month,Bank transfer (automatic),No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No
3413-BMNZE,0.5755047904581339,Medium Risk,0.38105263157894737,0.5171691427943779,Priority 2,1,45.25,45.25,Month-to-month,Bank transfer (automatic),DSL,No,No,No,No,No,No,No,No
6234-RAAPL,0.013925989506788347,Low Risk,0.8412631578947369,0.26212714002317294,Priority 3,72,99.9,7251.7,Two year,Bank transfer (automatic),Fiber optic,Yes,Yes,No,Yes,Yes,No,Yes,Yes
6047-YHPVI,0.6309525122457817,High Risk,0.5869473684210527,0.6177509690983629,Priority 2,5,69.7,316.9,Month-to-month,Electronic check,Fiber optic,No,No,No,No,No,No,No,No
6572-ADKRS,0.21654189195794296,Low Risk,0.6298947368421053,0.34054774542319166,Priority 3,46,74.8,3548.3,Month-to-month,Credit card (automatic),Fiber optic,No,No,Yes,No,No,No,No,No
5380-WJKOV,0.5037880361820685,Medium Risk,0.895578947368421,0.6213253095379743,Priority 2,34,106.35,3549.25,Month-to-month,Electronic check,Fiber optic,No,Yes,Yes,No,Yes,Yes,No,No
8168-UQWWF,0.8134594528582589,Very High Risk,0.824,0.8166216170007812,Priority 1,11,97.85,1105.4,Month-to-month,Bank transfer (automatic),Fiber optic,No,No,Yes,No,Yes,Yes,No,No
8865-TNMNX,0.08651981328856728,Low Risk,0.41726315789473684,0.18574281667041814,Priority 3,10,49.55,475.7,One year,Mailed check,DSL,No,Yes,No,No,No,No,Yes,Yes
9489-DEDVP,0.026960204132736403,Low Risk,0.5827368421052632,0.19369319552449443,Priority 3,70,69.2,4872.35,Two year,Credit card (automatic),DSL,Yes,Yes,No,No,Yes,No,Yes,Yes
9867-JCZSP,0.04087421932026216,Low Risk,0.17473684210526316,0.08103300615576245,Priority 3,17,20.75,418.25,One year,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes
4671-VJLCL,0.021629890324147343,Low Risk,0.6724210526315789,0.2168672390163768,Priority 3,63,79.85,4861.45,Two year,Credit card (automatic),DSL,Yes,Yes,Yes,Yes,Yes,No,No,No
4080-IIARD,0.17059246297091746,Low Risk,0.6416842105263159,0.311919987237537,Priority 3,13,76.2,981.45,Month-to-month,Electronic check,DSL,Yes,Yes,No,Yes,Yes,No,Yes,No
3714-NTNFO,0.45714513993105244,Medium Risk,0.7115789473684211,0.533475282162263,Priority 2,49,84.5,3906.7,Month-to-month,Electronic check,Fiber optic,No,No,No,No,No,Yes,No,No
5948-UJZLF,0.3966566884293309,Medium Risk,0.4147368421052632,0.4020807345321105,Priority 3,2,49.25,97.0,Month-to-month,Mailed check,DSL,No,Yes,No,No,No,No,No,No
7760-OYPDY,0.7191776878311054,High Risk,0.6791578947368422,0.7071717499028264,Priority 1,2,80.65,144.15,Month-to-month,Electronic check,Fiber optic,No,No,No,No,Yes,No,No,No
7639-LIAYI,0.03273008062391059,Low Risk,0.671578947368421,0.22438474064726371,Priority 3,52,79.75,4217.8,Two year,Credit card (automatic),DSL,Yes,No,No,Yes,Yes,Yes,No,No
2954-PIBKO,0.02091269024953051,Low Risk,0.5402105263157895,0.17670204106940818,Priority 3,69,64.15,4254.1,Two year,Credit card (automatic),DSL,Yes,No,Yes,Yes,No,No,Yes,Yes
8012-SOUDQ,0.46341196322006994,Medium Risk,0.76,0.552388374254049,Priority 2,43,90.25,3838.75,Month-to-month,Electronic check,Fiber optic,No,Yes,No,No,Yes,No,No,No
9420-LOJKX,0.5670652539747291,Medium Risk,0.8345263157894737,0.6473035725191525,Priority 2,15,99.1,1426.4,Month-to-month,Credit card (automatic),Fiber optic,Yes,Yes,No,No,Yes,Yes,No,No
6575-SUVOI,0.1287317174376474,Low Risk,0.5852631578947368,0.26569114957477424,Priority 3,25,69.5,1752.65,Month-to-month,Credit card (automatic),DSL,Yes,No,No,Yes,Yes,No,Yes,No
7495-OOKFY,0.7054800491013784,High Risk,0.6791578947368422,0.6975834027920175,Priority 2,8,80.65,633.3,Month-to-month,Credit card (automatic),Fiber optic,No,Yes,No,No,No,No,Yes,No
4667-QONEA,0.04326987903351191,Low Risk,0.6303157894736842,0.21938365216556358,Priority 3,60,74.85,4456.35,One year,Credit card (automatic),DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1658-BYGOY,0.6931888617893837,High Risk,0.8037894736842105,0.7263690453578318,Priority 1,18,95.45,1752.55,Month-to-month,Electronic check,Fiber optic,No,No,No,No,Yes,Yes,No,No
8769-KKTPH,0.1489780419205793,Low Risk,0.8391578947368421,0.35603199776545813,Priority 3,63,99.65,6311.2,One year,Credit card (automatic),Fiber optic,Yes,No,No,No,Yes,Yes,Yes,Yes
5067-XJQFU,0.21034396538315747,Low Risk,0.9132631578947369,0.42121972313663125,Priority 3,66,108.45,7076.35,One year,Electronic check,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3957-SQXML,0.01885266771004985,Low Risk,0.21010526315789474,0.07622844634440332,Priority 3,34,24.95,894.3,Two year,Credit card (automatic),No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes
5954-BDFSG,0.06094605815718115,Low Risk,0.9052631578947369,0.3142411880784478,Priority 3,72,107.5,7853.7,Two year,Credit card (automatic),Fiber optic,No,No,Yes,Yes,Yes,Yes,No,No
0434-CSFON,0.589774542810337,Medium Risk,0.8463157894736842,0.6667369168093411,Priority 2,47,100.5,4707.1,Month-to-month,Electronic check,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,No
1215-FIGMP,0.2597204629020197,Low Risk,0.7570526315789474,0.40892011350509805,Priority 3,60,89.9,5450.7,Month-to-month,Bank transfer (automatic),Fiber optic,No,Yes,No,No,Yes,No,No,No
0526-SXDJP,0.02110916892194839,Low Risk,0.3545263157894737,0.12113431298220598,Priority 3,72,42.1,2962.0,Two year,Bank transfer (automatic),DSL,Yes,Yes,Yes,No,No,No,Yes,No
0557-ASKVU,0.08572329442111709,Low Risk,0.45810526315789474,0.19743788504215037,Priority 3,18,54.4,957.1,One year,Credit card (automatic),DSL,No,No,Yes,Yes,No,No,Yes,Yes
5698-BQJOH,0.7315250991495362,High Risk,0.7949473684210526,0.7505517799309911,Priority 1,9,94.4,857.25,Month-to-month,Electronic check,Fiber optic,No,No,No,No,Yes,Yes,No,No
5122-CYFXA,0.36781775459683663,Medium Risk,0.6341052631578947,0.44770400716515407,Priority 3,3,75.3,244.1,Month-to-month,Electronic check,DSL,No,Yes,No,Yes,Yes,Yes,No,No
8627-ZYGSZ,0.1727269502444211,Low Risk,0.664421052631579,0.32023518096056847,Priority 3,47,78.9,3650.35,One year,Electronic check,Fiber optic,No,Yes,No,No,No,No,Yes,No
3410-YOQBQ,0.03744235184761075,Low Risk,0.6669473684210526,0.2262938568196433,Priority 3,31,79.2,2497.2,Two year,Mailed check,DSL,No,Yes,Yes,Yes,Yes,Yes,No,No
3170-NMYVV,0.017379793549925557,Low Risk,0.16968421052631577,0.06307111864284262,Priority 3,50,20.15,930.9,Two year,Bank transfer (automatic),No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes
7410-OIEDU,0.4476773878631171,Medium Risk,0.6724210526315789,0.5151004872936557,Priority 2,10,79.85,887.35,Month-to-month,Mailed check,Fiber optic,Yes,No,Yes,No,No,No,No,No
2273-QCKXA,0.2983127238505977,Low Risk,0.41305263157894734,0.33273469616910256,Priority 3,1,49.05,49.05,Month-to-month,Mailed check,DSL,No,No,No,Yes,No,No,No,No
0731-EBJQB,0.03333107361090847,Low Risk,0.17178947368421052,0.07486859363289908,Priority 3,52,20.4,1090.65,One year,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes
1891-QRQSA,0.14510207436698744,Low Risk,0.9397894736842105,0.3835082941621544,Priority 3,64,111.6,7099.0,Two year,Bank transfer (automatic),Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
8028-PNXHQ,0.01563790246927081,Low Risk,0.20421052631578948,0.07220968962322641,Priority 3,62,24.25,1424.6,Two year,Bank transfer (automatic),No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes
5630-AHZIL,0.23629840210149541,Low Risk,0.5431578947368421,0.32835624989209944,Priority 3,3,64.5,177.4,Month-to-month,Bank transfer (automatic),DSL,Yes,No,No,Yes,No,Yes,No,Yes
2673-CXQEU,0.18836160556772422,Low Risk,0.9305263157894736,0.41101101863424905,Priority 3,56,110.5,6139.5,One year,Electronic check,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,No,No
6416-JNVRK,0.09319206847612124,Low Risk,0.4686315789473684,0.20582392161749538,Priority 3,46,55.65,2688.85,One year,Credit card (automatic),DSL,No,No,No,No,No,Yes,No,No
5590-ZSKRV,0.12885800801840855,Low Risk,0.46021052631578946,0.2282637635076228,Priority 3,8,54.65,482.25,Month-to-month,Mailed check,DSL,Yes,Yes,No,No,No,No,Yes,Yes
0191-ZHSKZ,0.191093432400737,Low Risk,0.6294736842105263,0.32260750794367377,Priority 3,30,74.75,2111.3,Month-to-month,Electronic check,DSL,Yes,Yes,No,No,Yes,Yes,No,No
3887-PBQAO,0.03262749941651095,Low Risk,0.21810526315789472,0.08827082853892607,Priority 3,45,25.9,1216.6,One year,Credit card (automatic),No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes
5919-TMRGD,0.8908970094391826,Very High Risk,0.6682105263157895,0.8240910645021646,Priority 1,1,79.35,79.35,Month-to-month,Electronic check,Fiber optic,No,No,No,No,Yes,No,No,Yes
8108-UXRQN,0.2949763620841512,Low Risk,0.4256842105263158,0.33418871661680055,Priority 3,11,50.55,565.35,Month-to-month,Electronic check,DSL,Yes,No,No,No,Yes,Yes,Yes,Yes
9191-MYQKX,0.5728864521323453,Medium Risk,0.632842105263158,0.5908731480715891,Priority 2,7,75.15,496.9,Month-to-month,Bank transfer (automatic),Fiber optic,No,No,Yes,No,No,No,Yes,No
9919-YLNNG,0.4497112766745001,Medium Risk,0.8741052631578947,0.5770294726195184,Priority 2,42,103.8,4327.5,Month-to-month,Bank transfer (automatic),Fiber optic,No,Yes,Yes,Yes,Yes,Yes,No,No
0318-ZOPWS,0.01792823296674694,Low Risk,0.16968421052631577,0.06345502623461759,Priority 3,49,20.15,973.35,Two year,Bank transfer (automatic),No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No
4445-ZJNMU,0.8309408597277417,Very High Risk,0.8362105263157894,0.8325217597041559,Priority 1,9,99.3,918.75,Month-to-month,Credit card (automatic),Fiber optic,No,Yes,No,No,Yes,Yes,No,No
4808-YNLEU,0.06468289923788177,Low Risk,0.5233684210526316,0.2022885557823067,Priority 3,35,62.15,2215.45,One year,Bank transfer (automatic),DSL,Yes,No,No,No,Yes,No,Yes,No
1862-QRWPE,0.018215525135204896,Low Risk,0.17389473684210524,0.064919288647275,Priority 3,48,20.65,1057.0,Two year,Bank transfer (automatic),No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes
2796-NNUFI,0.01645958043830952,Low Risk,0.16799999999999998,0.061921706306816655,Priority 3,46,19.95,927.1,Two year,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes
3016-KSVCP,0.18645348128150052,Low Risk,0.28421052631578947,0.21578059479178718,Priority 3,29,33.75,1009.25,Month-to-month,Mailed check,DSL,No,No,No,No,Yes,No,Yes,No
4767-HZZHQ,0.23915633808118897,Low Risk,0.6909473684210526,0.37469364718314807,Priority 3,30,82.05,2570.2,Month-to-month,Bank transfer (automatic),Fiber optic,No,Yes,Yes,No,No,No,Yes,Yes
2424-WVHPL,0.5828577479002497,Medium Risk,0.6290526315789474,0.596716213003859,Priority 2,1,74.7,74.7,Month-to-month,Electronic check,Fiber optic,No,No,No,Yes,No,No,No,No
7233-PAHHL,0.03221810714697587,Low Risk,0.7073684210526315,0.23476320131867257,Priority 3,66,84.0,5714.25,Two year,Mailed check,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
6067-NGCEU,0.25054770089604805,Low Risk,0.9351578947368421,0.4559307590482862,Priority 3,65,111.05,7107.0,Month-to-month,Credit card (automatic),Fiber optic,Yes,Yes,Yes,No,Yes,Yes,No,No
9848-JQJTX,0.06786676521765275,Low Risk,0.8496842105263158,0.30241199881025166,Priority 3,72,100.9,7459.05,Two year,Bank transfer (automatic),Fiber optic,No,Yes,Yes,No,Yes,Yes,No,No
8637-XJIVR,0.5953692788073762,Medium Risk,0.6648421052631579,0.6162111267441107,Priority 2,12,78.95,927.35,Month-to-month,Electronic check,Fiber optic,Yes,No,No,No,No,No,No,No
9803-FTJCG,0.022467117358680573,Low Risk,0.5629473684210525,0.18461119267739215,Priority 3,71,66.85,4748.7,One year,Credit card (automatic),DSL,Yes,Yes,No,Yes,No,No,Yes,Yes
0278-YXOOG,0.11082891139079265,Low Risk,0.17726315789473684,0.1307591853419759,Priority 3,5,21.05,113.85,Month-to-month,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No
3212-KXOCR,0.017505118803508173,Low Risk,0.17684210526315788,0.06530621474140308,Priority 3,52,21.0,1107.2,Two year,Bank transfer (automatic),No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No
4598-XLKNJ,0.684480273004436,High Risk,0.8294736842105264,0.7279782963662631,Priority 1,25,98.5,2514.5,Month-to-month,Electronic check,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,No
6380-ARCEH,0.3894893773109923,Medium Risk,0.17010526315789473,0.32367414306506304,Priority 3,1,20.2,20.2,Month-to-month,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No
3679-XASPY,0.3214522578936951,Medium Risk,0.1637894736842105,0.2741534226308497,Priority 3,1,19.45,19.45,Month-to-month,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes
7123-WQUHX,0.10072330376407228,Low Risk,0.8,0.31050631263485057,Priority 3,38,95.0,3605.6,One year,Bank transfer (automatic),Fiber optic,No,No,Yes,Yes,Yes,No,No,No
5386-THSLQ,0.11154896447037302,Low Risk,0.383578947368421,0.1931579593397874,Priority 3,66,45.55,3027.25,One year,Bank transfer (automatic),DSL,No,Yes,Yes,No,Yes,No,Yes,No
3192-NQECA,0.19017067284035413,Low Risk,0.9263157894736842,0.41101420783035314,Priority 3,68,110.0,7611.85,Two year,Bank transfer (automatic),Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No
6180-YBIQI,0.42124029362035553,Medium Risk,0.20463157894736841,0.3562576792184594,Priority 3,5,24.3,100.2,Month-to-month,Mailed check,DSL,No,No,No,No,No,No,No,No
6728-DKUCO,0.0754879937905996,Low Risk,0.8770526315789474,0.3159573851271039,Priority 3,72,104.15,7303.05,One year,Electronic check,Fiber optic,Yes,Yes,No,No,Yes,Yes,Yes,Yes
9750-BOOHV,0.060220520254612525,Low Risk,0.25389473684210523,0.11832278523086033,Priority 3,32,30.15,927.65,One year,Mailed check,DSL,Yes,No,No,No,No,No,No,No
8597-CWYHH,0.17635440748191714,Low Risk,0.7945263157894736,0.36180597997418407,Priority 3,43,94.35,3921.3,One year,Mailed check,Fiber optic,No,No,No,No,Yes,Yes,No,No
2848-YXSMW,0.011381319970689151,Low Risk,0.16336842105263158,0.056977450295271875,Priority 3,72,19.4,1363.25,Two year,Credit card (automatic),No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes
0486-HECZI,0.3249117793631451,Medium Risk,0.8147368421052632,0.4718592981857805,Priority 3,55,96.75,5238.9,Month-to-month,Electronic check,Fiber optic,Yes,Yes,No,No,Yes,No,Yes,No
4549-ZDQYY,0.04434345072260586,Low Risk,0.48800000000000004,0.1774404155058241,Priority 3,52,57.95,3042.25,One year,Credit card (automatic),DSL,Yes,No,Yes,Yes,No,No,No,No
5712-AHQNN,0.360251530518144,Medium Risk,0.7717894736842106,0.48371291346796397,Priority 3,43,91.65,3954.1,Month-to-month,Electronic check,Fiber optic,No,Yes,Yes,No,Yes,No,No,No
4846-WHAFZ,0.44807917618063314,Medium Risk,0.6442105263157895,0.50691858122118,Priority 2,37,76.5,2868.15,Month-to-month,Electronic check,Fiber optic,No,No,No,No,No,No,Yes,No
5256-SKJGO,0.03966767382461829,Low Risk,0.4597894736842105,0.16570421378249597,Priority 3,64,54.6,3423.5,Two year,Electronic check,DSL,No,Yes,No,Yes,Yes,Yes,Yes,Yes
3071-VBYPO,0.3922073469775796,Medium Risk,0.7566315789473683,0.5015346165685162,Priority 2,3,89.85,248.4,Month-to-month,Electronic check,Fiber optic,Yes,Yes,No,No,Yes,No,Yes,Yes
9560-BBZXK,0.0364735240790214,Low Risk,0.2614736842105263,0.10397357211847286,Priority 3,36,31.05,1126.35,Two year,Bank transfer (automatic),DSL,Yes,No,No,No,No,No,No,No
5299-RULOA,0.8055960821770028,Very High Risk,0.8442105263157895,0.8171804154186388,Priority 1,10,100.25,1064.65,Month-to-month,Electronic check,Fiber optic,Yes,No,No,No,Yes,Yes,Yes,Yes
8402-OOOHJ,0.018261022809701252,Low Risk,0.17389473684210524,0.06495113701942246,Priority 3,41,20.65,835.15,Two year,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No
9445-ZUEQE,0.26932385855778457,Low Risk,0.7174736842105264,0.4037688062536071,Priority 3,27,85.2,2151.6,Month-to-month,Credit card (automatic),Fiber optic,No,Yes,No,Yes,No,No,Yes,Yes
1091-SOZGA,0.22259953477257147,Low Risk,0.840421052631579,0.4079459901302737,Priority 3,56,99.8,5515.45,One year,Credit card (automatic),Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Yes
2928-HLDBA,0.0913293463359277,Low Risk,0.1743157894736842,0.11622527927725465,Priority 3,6,20.7,112.75,Month-to-month,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No
0404-SWRVG,0.7584093502906109,High Risk,0.6265263157894737,0.7188444399402697,Priority 1,3,74.4,229.55,Month-to-month,Electronic check,Fiber optic,No,No,No,No,No,No,No,No
6497-TILVL,0.1588183293265447,Low Risk,0.42694736842105263,0.23925704105489703,Priority 3,7,50.7,350.35,Month-to-month,Mailed check,DSL,Yes,No,No,No,No,No,Yes,Yes
7219-TLZHO,0.10633015219119613,Low Risk,0.17557894736842106,0.1271047907443636,Priority 3,4,20.85,62.9,Month-to-month,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes
4622-YNKIJ,0.0588320926955745,Low Risk,0.7490526315789474,0.2658982543605864,Priority 3,33,88.95,3027.65,Two year,Electronic check,Fiber optic,Yes,No,No,Yes,Yes,No,No,No
4412-YLTKF,0.5198369253543245,Medium Risk,0.6572631578947368,0.5610647951164481,Priority 2,27,78.05,2135.5,Month-to-month,Electronic check,Fiber optic,No,No,Yes,No,No,No,No,No
6734-PSBAW,0.012261268265331164,Low Risk,0.19831578947368422,0.06807762462783708,Priority 3,72,23.55,1723.95,Two year,Bank transfer (automatic),No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No
3930-ZGWVE,0.3020247497178052,Medium Risk,0.16631578947368422,0.2613120616445689,Priority 3,1,19.75,19.75,Month-to-month,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No
2639-UGMAZ,0.06548930131721276,Low Risk,0.4753684210526316,0.1884530372378384,Priority 3,71,56.45,3985.35,One year,Electronic check,DSL,Yes,Yes,No,No,Yes,Yes,No,No
2876-GZYZC,0.6581893947800078,High Risk,0.7237894736842105,0.6778694184512686,Priority 2,13,85.95,1215.65,Month-to-month,Electronic check,Fiber optic,No,No,No,No,No,Yes,No,No
6207-WIOLX,0.16841853397406345,Low Risk,0.49347368421052634,0.2659350790450023,Priority 3,25,58.6,1502.65,Month-to-month,Credit card (automatic),DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
8587-XYZSF,0.030890983683723963,Low Risk,0.4256842105263158,0.14932895173650151,Priority 3,67,50.55,3260.1,Two year,Bank transfer (automatic),DSL,No,No,No,Yes,No,No,No,No
3091-FYHKI,0.7901488537786097,High Risk,0.2985263157894737,0.6426620923818688,Priority 2,1,35.45,35.45,Month-to-month,Electronic check,DSL,No,No,No,No,No,Yes,No,No
