customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn_Probability,Risk_Category,Charge_Score,Priority_Score,Priority_Group,Churn
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,0.0865198132885672,Low Risk,0.4172631578947368,0.1857428166704181,Priority 3,No
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,0.0269602041327364,Low Risk,0.5827368421052632,0.1936931955244944,Priority 3,No
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,0.0408742193202621,Low Risk,0.1747368421052631,0.0810330061557624,Priority 3,No
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,0.0216298903241473,Low Risk,0.6724210526315789,0.2168672390163768,Priority 3,No
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,0.1705924629709174,Low Risk,0.6416842105263159,0.311919987237537,Priority 3,No
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,0.4571451399310524,Medium Risk,0.7115789473684211,0.533475282162263,Priority 2,No
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,0.3966566884293309,Medium Risk,0.4147368421052632,0.4020807345321105,Priority 3,No
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,0.7191776878311054,High Risk,0.6791578947368422,0.7071717499028264,Priority 1,Yes
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,0.0327300806239105,Low Risk,0.671578947368421,0.2243847406472637,Priority 3,No
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,0.0209126902495305,Low Risk,0.5402105263157895,0.1767020410694081,Priority 3,No
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,0.4634119632200699,Medium Risk,0.76,0.552388374254049,Priority 2,No
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,0.5670652539747291,Medium Risk,0.8345263157894737,0.6473035725191525,Priority 2,Yes
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,0.1287317174376474,Low Risk,0.5852631578947368,0.2656911495747742,Priority 3,No
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,0.7054800491013784,High Risk,0.6791578947368422,0.6975834027920175,Priority 2,Yes
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,0.0432698790335119,Low Risk,0.6303157894736842,0.2193836521655635,Priority 3,No
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,0.6931888617893837,High Risk,0.8037894736842105,0.7263690453578318,Priority 1,Yes
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,0.1489780419205793,Low Risk,0.8391578947368421,0.3560319977654581,Priority 3,No
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,0.2103439653831574,Low Risk,0.9132631578947368,0.4212197231366312,Priority 3,No
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,0.0188526677100498,Low Risk,0.2101052631578947,0.0762284463444033,Priority 3,No
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,0.0609460581571811,Low Risk,0.9052631578947368,0.3142411880784478,Priority 3,No
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,0.589774542810337,Medium Risk,0.8463157894736842,0.6667369168093411,Priority 2,No
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,0.2597204629020197,Low Risk,0.7570526315789474,0.408920113505098,Priority 3,No
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,0.0211091689219483,Low Risk,0.3545263157894737,0.1211343129822059,Priority 3,No
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,0.085723294421117,Low Risk,0.4581052631578947,0.1974378850421503,Priority 3,No
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,0.7315250991495362,High Risk,0.7949473684210526,0.7505517799309911,Priority 1,Yes
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,0.3678177545968366,Medium Risk,0.6341052631578947,0.447704007165154,Priority 3,No
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,0.1727269502444211,Low Risk,0.664421052631579,0.3202351809605684,Priority 3,No
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,0.0374423518476107,Low Risk,0.6669473684210526,0.2262938568196433,Priority 3,No
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,0.0173797935499255,Low Risk,0.1696842105263157,0.0630711186428426,Priority 3,No
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,0.4476773878631171,Medium Risk,0.6724210526315789,0.5151004872936557,Priority 2,No
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,0.2983127238505977,Low Risk,0.4130526315789473,0.3327346961691025,Priority 3,No
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,0.0333310736109084,Low Risk,0.1717894736842105,0.074868593632899,Priority 3,No
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,0.1451020743669874,Low Risk,0.9397894736842104,0.3835082941621544,Priority 3,No
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,0.0156379024692708,Low Risk,0.2042105263157894,0.0722096896232264,Priority 3,No
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,0.2362984021014954,Low Risk,0.5431578947368421,0.3283562498920994,Priority 3,No
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,0.1883616055677242,Low Risk,0.9305263157894736,0.411011018634249,Priority 3,No
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,0.0931920684761212,Low Risk,0.4686315789473684,0.2058239216174953,Priority 3,No
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,0.1288580080184085,Low Risk,0.4602105263157894,0.2282637635076228,Priority 3,No
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,0.191093432400737,Low Risk,0.6294736842105263,0.3226075079436737,Priority 3,No
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,0.0326274994165109,Low Risk,0.2181052631578947,0.088270828538926,Priority 3,No
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,0.8908970094391826,Very High Risk,0.6682105263157895,0.8240910645021646,Priority 1,Yes
8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,0.2949763620841512,Low Risk,0.4256842105263158,0.3341887166168005,Priority 3,No
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,0.5728864521323453,Medium Risk,0.632842105263158,0.5908731480715891,Priority 2,Yes
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,0.4497112766745001,Medium Risk,0.8741052631578947,0.5770294726195184,Priority 2,No
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,0.0179282329667469,Low Risk,0.1696842105263157,0.0634550262346175,Priority 3,No
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,0.8309408597277417,Very High Risk,0.8362105263157894,0.8325217597041559,Priority 1,No
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,0.0646828992378817,Low Risk,0.5233684210526316,0.2022885557823067,Priority 3,No
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,0.0182155251352048,Low Risk,0.1738947368421052,0.064919288647275,Priority 3,No
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,0.0164595804383095,Low Risk,0.1679999999999999,0.0619217063068166,Priority 3,No
3016-KSVCP,Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,0.1864534812815005,Low Risk,0.2842105263157894,0.2157805947917871,Priority 3,No
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,0.2391563380811889,Low Risk,0.6909473684210526,0.374693647183148,Priority 3,No
2424-WVHPL,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,0.5828577479002497,Medium Risk,0.6290526315789474,0.596716213003859,Priority 2,No
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,0.0322181071469758,Low Risk,0.7073684210526315,0.2347632013186725,Priority 3,No
6067-NGCEU,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,0.250547700896048,Low Risk,0.935157894736842,0.4559307590482862,Priority 3,No
9848-JQJTX,Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,0.0678667652176527,Low Risk,0.8496842105263158,0.3024119988102516,Priority 3,No
8637-XJIVR,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,0.5953692788073762,Medium Risk,0.6648421052631579,0.6162111267441107,Priority 2,Yes
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,0.0224671173586805,Low Risk,0.5629473684210525,0.1846111926773921,Priority 3,No
0278-YXOOG,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,0.1108289113907926,Low Risk,0.1772631578947368,0.1307591853419759,Priority 3,Yes
3212-KXOCR,Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,0.0175051188035081,Low Risk,0.1768421052631578,0.065306214741403,Priority 3,No
4598-XLKNJ,Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,0.684480273004436,High Risk,0.8294736842105264,0.7279782963662631,Priority 1,Yes
6380-ARCEH,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,0.3894893773109923,Medium Risk,0.1701052631578947,0.323674143065063,Priority 3,No
3679-XASPY,Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,0.3214522578936951,Medium Risk,0.1637894736842105,0.2741534226308497,Priority 3,No
7123-WQUHX,Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,0.1007233037640722,Low Risk,0.8,0.3105063126348505,Priority 3,No
5386-THSLQ,Female,1,Yes,No,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,0.111548964470373,Low Risk,0.383578947368421,0.1931579593397874,Priority 3,No
3192-NQECA,Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,0.1901706728403541,Low Risk,0.9263157894736842,0.4110142078303531,Priority 3,Yes
6180-YBIQI,Male,0,No,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,0.4212402936203555,Medium Risk,0.2046315789473684,0.3562576792184594,Priority 3,No
6728-DKUCO,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,0.0754879937905996,Low Risk,0.8770526315789474,0.3159573851271039,Priority 3,No
9750-BOOHV,Female,0,No,No,32,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,927.65,0.0602205202546125,Low Risk,0.2538947368421052,0.1183227852308603,Priority 3,No
8597-CWYHH,Male,0,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,3921.3,0.1763544074819171,Low Risk,0.7945263157894736,0.361805979974184,Priority 3,No
2848-YXSMW,Male,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,1363.25,0.0113813199706891,Low Risk,0.1633684210526315,0.0569774502952718,Priority 3,No
0486-HECZI,Male,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,0.3249117793631451,Medium Risk,0.8147368421052632,0.4718592981857805,Priority 3,Yes
4549-ZDQYY,Female,0,No,No,52,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),57.95,3042.25,0.0443434507226058,Low Risk,0.488,0.1774404155058241,Priority 3,No
5712-AHQNN,Female,0,No,No,43,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.65,3954.1,0.360251530518144,Medium Risk,0.7717894736842106,0.4837129134679639,Priority 3,No
4846-WHAFZ,Female,1,Yes,No,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,0.4480791761806331,Medium Risk,0.6442105263157895,0.50691858122118,Priority 2,Yes
